预约ID,标题,剧目,场地,申请人,状态,开始时间,结束时间,优先级,备注,审批人,审批时间,创建时间,更新时间,改期序号,原时段,新时段,改期原因,改期操作人,改期时间
11,REVIEW-OUTSIDE-20260619105229,复核开放时段20260619105229,一号排练厅,李四,待审,2026-06-30 07:00:00,2026-06-30 08:00:00,10,outside open slot,,,2026-06-19 02:52:29,2026-06-19 02:52:29,,,,,,
15,Bug2测试-改期状态,Bug测试,二号排练厅,李四,待审,2026-06-23 15:00:00,2026-06-23 16:00:00,50,,,,2026-06-19 03:07:54,2026-06-19 03:08:04,第1次改期,2026-06-23 14:00:00 ~ 2026-06-23 15:00:00,2026-06-23 15:00:00 ~ 2026-06-23 16:00:00,Bug2测试：检查改期后状态,李四,2026-06-19 03:08:04
22,回归测试-开放时段草稿,回归测试剧目,一号排练厅,李四,草稿,2026-06-23 10:00:00,2026-06-23 11:00:00,10,,,,2026-06-19 03:34:23,2026-06-19 03:34:23,,,,,,
13,BUG复现-待审非开放时段,Bug测试,一号排练厅,李四,待审,2026-06-23 07:30:00,2026-06-23 08:30:00,10,测试待审在非开放时段是否被拦截,,,2026-06-19 03:07:39,2026-06-19 03:07:39,,,,,,
12,BUG复现-草稿非开放时段,Bug测试,一号排练厅,李四,草稿,2026-06-23 07:00:00,2026-06-23 08:00:00,10,测试草稿在非开放时段是否被拦截,,,2026-06-19 03:07:37,2026-06-19 03:07:37,,,,,,
14,改期测试-基础预约,改期测试,二号排练厅,李四,待审,2026-06-23 07:00:00,2026-06-23 08:00:00,50,,,,2026-06-19 03:07:42,2026-06-19 03:07:52,第1次改期,2026-06-23 10:00:00 ~ 2026-06-23 11:00:00,2026-06-23 07:00:00 ~ 2026-06-23 08:00:00,测试改期到非开放时段是否被拦截,李四,2026-06-19 03:07:52
10,REVIEW-OTHER-20260619105229,复核越权链路20260619105229,一号排练厅,王五,待审,2026-06-22 19:00:00,2026-06-22 20:00:00,20,other member booking,,,2026-06-19 02:52:29,2026-06-19 02:52:29,,,,,,
2,《茶馆》彩排,茶馆,二号排练厅,李四,已取消,2026-06-22 14:00:00,2026-06-22 17:00:00,60,带妆彩排,,,2026-06-19 02:33:34,2026-06-19 02:40:28,第1次改期,2026-06-21 09:00:00 ~ 2026-06-21 12:00:00,2026-06-22 14:00:00 ~ 2026-06-22 17:00:00,演员档期调整,李四,2026-06-19 02:35:53
2,《茶馆》彩排,茶馆,二号排练厅,李四,已取消,2026-06-22 14:00:00,2026-06-22 17:00:00,60,带妆彩排,,,2026-06-19 02:33:34,2026-06-19 02:40:28,第2次改期,2026-06-22 14:00:00 ~ 2026-06-22 17:00:00,2026-06-22 14:00:00 ~ 2026-06-22 17:00:00,演员档期调整,李四,2026-06-19 02:40:06
6,午夜排练A,午夜测试,二号排练厅,李四,已取消,2026-06-22 14:00:00,2026-06-22 17:00:00,10,,,,2026-06-19 02:40:22,2026-06-19 02:45:12,第1次改期,2026-06-21 22:00:00 ~ 2026-06-22 01:00:00,2026-06-22 14:00:00 ~ 2026-06-22 17:00:00,演员档期调整,李四,2026-06-19 02:44:50
9,REVIEW-SUCCESS-20260619105229,复核成功链路20260619105229,一号排练厅,李四,已确认,2026-06-22 14:00:00,2026-06-22 15:00:00,42,reviewer happy path,系统管理员,2026-06-19 02:52:29,2026-06-19 02:52:29,2026-06-19 02:52:29,第1次改期,2026-06-22 09:00:00 ~ 2026-06-22 10:00:00,2026-06-22 14:00:00 ~ 2026-06-22 15:00:00,reviewer reschedule reason,李四,2026-06-19 02:52:29
8,午夜排练A,午夜测试,二号排练厅,李四,待审,2026-06-21 22:00:00,2026-06-22 01:00:00,10,,,,2026-06-19 02:45:06,2026-06-19 02:45:06,,,,,,
1,《雷雨》第一幕排练,雷雨,一号排练厅,李四,已确认,2026-06-20 14:00:00,2026-06-20 17:00:00,80,导演组全员参加,系统管理员,2026-06-19 02:33:34,2026-06-19 02:33:34,2026-06-19 02:33:34,,,,,,
3,《哈姆雷特》第一幕排练,哈姆雷特,一号排练厅,李四,待审,2026-06-20 09:00:00,2026-06-20 12:00:00,50,主要角色排练,,,2026-06-19 02:34:08,2026-06-19 02:34:10,,,,,,
4,测试预约-哈姆雷特,哈姆雷特,一号排练厅,李四,待审,2026-06-20 09:00:00,2026-06-20 12:00:00,50,主流程测试,,,2026-06-19 02:35:38,2026-06-19 02:35:40,,,,,,
5,测试预约-哈姆雷特,哈姆雷特,一号排练厅,李四,待审,2026-06-20 09:00:00,2026-06-20 12:00:00,50,主流程测试,,,2026-06-19 02:39:51,2026-06-19 02:39:53,,,,,,
7,测试预约-哈姆雷特,哈姆雷特,一号排练厅,李四,待审,2026-06-20 09:00:00,2026-06-20 12:00:00,50,主流程测试,,,2026-06-19 02:44:35,2026-06-19 02:44:37,,,,,,
23,回归测试-开放时段待审,回归测试剧目,二号排练厅,李四,改期中,2026-06-18 10:00:00,2026-06-18 12:00:00,10,,,,2026-06-19 03:34:23,2026-06-19 03:34:23,第1次改期,2026-06-24 14:00:00 ~ 2026-06-24 15:00:00,2026-06-18 10:00:00 ~ 2026-06-18 12:00:00,排练时间调整，需要改期,系统管理员,2026-06-19 03:34:23
